id,filename,title,artist,year,museum,tier,portrait_flag,masterpiece_flag,value_score,image_url,source_url,credit_line,department,classification,style,terms,categories,license,price_text
286,aic_286.jpg,Portrait Head of a Woman,Ancient Roman,140.0,aic,2,1,0,0.800,"https://www.artic.edu/iiif/2/95d7115d-3f78-ce6a-d174-d8f3581c9aa4/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/286,Museum Purchase Fund,Arts of the Ancient Mediterranean and Byzantium,"['marble', 'stone', 'sculpture', 'ancient art']",[],"['marble', 'heads', 'stone', 'sculpture', 'ancient art', 'females']",['Arts of the Ancient Mediterranean and Byzantium'],unknown,Estimate: $3.2M
322,aic_322.jpg,Torso of a Nude Woman,Ancient Greek,-300.0,aic,2,1,0,0.800,"https://www.artic.edu/iiif/2/355eb702-830c-2c8a-69e5-fd9f41e5340e/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/322,Museum Purchase Fund,Arts of the Ancient Mediterranean and Byzantium,"['earthenware', 'ceramics', 'sculpture', 'ancient art']",[],"['earthenware', 'terracotta', 'inorganic material', 'ceramics', 'sculpture', 'ancient art']",['Arts of the Ancient Mediterranean and Byzantium'],unknown,Estimate: $3.2M
324,aic_324.jpg,Statuette of a Woman,Ancient Greek,-500.0,aic,2,1,0,0.800,"https://www.artic.edu/iiif/2/34b35849-48f8-d382-b717-666867dbd77e/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/324,Museum Purchase Fund,Arts of the Ancient Mediterranean and Byzantium,"['earthenware', 'ceramics', 'sculpture', 'ancient art']",[],"['earthenware', 'terracotta', 'inorganic material', 'ceramics', 'sculpture', 'ancient art']",['Arts of the Ancient Mediterranean and Byzantium'],unknown,Estimate: $3.2M
326,aic_326.jpg,Torso of a Nude Man,Ancient Greek,-300.0,aic,2,1,0,0.800,"https://www.artic.edu/iiif/2/47ecb305-7642-c27f-4e49-640ca632ba90/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/326,Museum Purchase Fund,Arts of the Ancient Mediterranean and Byzantium,"['earthenware', 'ceramics', 'sculpture', 'ancient art']",[],"['earthenware', 'terracotta', 'inorganic material', 'ceramics', 'sculpture', 'ancient art']",['Arts of the Ancient Mediterranean and Byzantium'],unknown,Estimate: $3.2M
328,aic_328.jpg,Draped Torso of a Woman,Ancient Greek,-300.0,aic,2,1,0,0.800,"https://www.artic.edu/iiif/2/7cc9b922-daae-38a8-189c-fe16f3010d70/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/328,Museum Purchase Fund,Arts of the Ancient Mediterranean and Byzantium,"['earthenware', 'ceramics', 'sculpture', 'ancient art']",[],"['earthenware', 'terracotta', 'inorganic material', 'ceramics', 'sculpture', 'ancient art']",['Arts of the Ancient Mediterranean and Byzantium'],unknown,Estimate: $3.2M
331,aic_331.jpg,Figurine of a Standing woman,Ancient Greek,-400.0,aic,2,1,0,0.800,"https://www.artic.edu/iiif/2/ffa70ec0-f23c-4e74-9ee2-0d54d724851a/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/331,Museum Purchase Fund,Arts of the Ancient Mediterranean and Byzantium,"['earthenware', 'ceramics', 'sculpture', 'ancient art']",[],"['earthenware', 'terracotta', 'inorganic material', 'ceramics', 'sculpture', 'ancient art']",['Arts of the Ancient Mediterranean and Byzantium'],unknown,Estimate: $3.2M
332,aic_332.jpg,Figurine of a Standing woman,Ancient Greek,-400.0,aic,2,1,0,0.800,"https://www.artic.edu/iiif/2/e41b21e5-9886-68fa-5268-7e4f91372c19/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/332,Museum Purchase Fund,Arts of the Ancient Mediterranean and Byzantium,"['earthenware', 'ceramics', 'sculpture', 'ancient art']",[],"['earthenware', 'terracotta', 'inorganic material', 'ceramics', 'sculpture', 'ancient art']",['Arts of the Ancient Mediterranean and Byzantium'],unknown,Estimate: $3.2M
335,aic_335.jpg,Figurine of a Man,Ancient Greek,-400.0,aic,2,1,0,0.800,"https://www.artic.edu/iiif/2/0a04154f-3ac9-9c13-35a3-e2e330cba5d4/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/335,Museum Purchase Fund,Arts of the Ancient Mediterranean and Byzantium,"['earthenware', 'ceramics', 'sculpture', 'ancient art']",[],"['earthenware', 'terracotta', 'inorganic material', 'ceramics', 'sculpture', 'ancient art']",['Arts of the Ancient Mediterranean and Byzantium'],unknown,Estimate: $3.2M
340,aic_340.jpg,Head of a Man,Ancient Greek,-300.0,aic,2,1,0,0.800,"https://www.artic.edu/iiif/2/6b6e7c55-8ff5-4d63-2a0c-05365ddb3e82/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/340,Museum Purchase Fund,Arts of the Ancient Mediterranean and Byzantium,"['earthenware', 'ceramics', 'sculpture', 'ancient art']",[],"['earthenware', 'terracotta', 'inorganic material', 'ceramics', 'sculpture', 'ancient art']",['Arts of the Ancient Mediterranean and Byzantium'],unknown,Estimate: $3.2M
341,aic_341.jpg,Head of a Woman with Crown,Ancient Greek,-300.0,aic,2,1,0,0.800,"https://www.artic.edu/iiif/2/c694fd41-d8ea-1768-7a5d-a2edf0194308/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/341,Museum Purchase Fund,Arts of the Ancient Mediterranean and Byzantium,"['earthenware', 'ceramics', 'sculpture', 'ancient art']",[],"['earthenware', 'terracotta', 'inorganic material', 'ceramics', 'sculpture', 'ancient art']",['Arts of the Ancient Mediterranean and Byzantium'],unknown,Estimate: $3.2M
342,aic_342.jpg,Head and Torso of a Woman,Ancient Greek,-300.0,aic,2,1,0,0.800,"https://www.artic.edu/iiif/2/25d3e448-266f-5213-d561-7c41175b1f46/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/342,Museum Purchase Fund,Arts of the Ancient Mediterranean and Byzantium,"['earthenware', 'ceramics', 'sculpture', 'ancient art']",[],"['earthenware', 'terracotta', 'inorganic material', 'ceramics', 'sculpture', 'ancient art']",['Arts of the Ancient Mediterranean and Byzantium'],unknown,Estimate: $3.2M
343,aic_343.jpg,Attached Heads of a Child and a Woman,Ancient Greek,-300.0,aic,2,1,0,0.800,"https://www.artic.edu/iiif/2/82617894-525b-efb8-324f-bd970a9519c7/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/343,Museum Purchase Fund,Arts of the Ancient Mediterranean and Byzantium,"['earthenware', 'ceramics', 'sculpture', 'ancient art']",[],"['earthenware', 'terracotta', 'inorganic material', 'ceramics', 'sculpture', 'ancient art']",['Arts of the Ancient Mediterranean and Byzantium'],unknown,Estimate: $3.2M
