id,filename,title,artist,year,museum,tier,portrait_flag,masterpiece_flag,value_score,image_url,source_url,credit_line,department,classification,style,terms,categories,license
4788,aic_4788.jpg,Lady Sarah Bunbury Sacrificing to the Graces,Sir Joshua Reynolds,1763.0,aic,2,1,0,0.880,"https://www.artic.edu/iiif/2/5a047a1c-d36e-e88d-05e7-845d3936159b/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/4788,Mr. and Mrs. W. W. Kimball Collection,Painting and Sculpture of Europe,"['oil on canvas', 'painting', 'european painting']",[],"['oil on canvas', 'oil painting', 'oil paint (paint)', 'portraits', 'painting (image making)', 'canvas', 'painting', 'european painting', 'water', 'green (color)', 'alters', 'dresses', 'mythological figures', 'pink (color)', 'shrines', 'women']","['Painting and Sculpture of Europe', 'Essentials']",unknown
4791,aic_4791.jpg,Mrs. Francis Russell,George Romney,1785.0,aic,2,1,0,0.880,"https://www.artic.edu/iiif/2/c15f9720-702d-10ee-85f8-80008d2bc8ca/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/4791,Mr. and Mrs. W. W. Kimball Collection,Painting and Sculpture of Europe,"['oil on canvas', 'painting', 'european painting']",[],"['oil on canvas', 'Century of Progress', 'painting', 'european painting', ""world's fairs"", ""Chicago World's Fairs""]",['Painting and Sculpture of Europe'],unknown
4809,aic_4809.jpg,Old Woman with a Needle,Félicien Rops,1876.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/bc005242-b359-9789-e716-5cdb84357d69/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/4809,Gift of the Albert Roullier Galleries,Prints and Drawings,"['photogravure', 'print', 'prints and drawing']",[],"['photogravure', 'paper (fiber product)', 'print', 'prints and drawing']",['Prints and Drawings'],unknown
4817,aic_4817.jpg,Portrait of Edouard Manet,Félix Henri Bracquemond,1862.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/7ba0bba8-555c-203c-e689-bd200bec3609/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/4817,Albert Roullier Memorial Collection,Prints and Drawings,"['etching', 'print', 'prints and drawing']",[],"['etching', 'paper (fiber product)', 'print', 'prints and drawing']",['Prints and Drawings'],unknown
4820,aic_4820.jpg,Little Girl with Pot,Louis Auguste Lepère,1890.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/dd7f52f4-298f-e66d-13bf-349385d081f1/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/4820,Gift of the Albert Roullier Galleries,Prints and Drawings,"['woodcut', 'print', 'prints and drawing']",[],"['woodcut', 'paper (fiber product)', 'woodcut (process)', 'print', 'prints and drawing']",['Prints and Drawings'],unknown
4825,aic_4825.jpg,Young Girl with a Cat,Berthe Morisot,1889.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/90754eab-01b1-a2ff-d007-be1c8508bd23/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/4825,Albert Roullier Memorial Collection,Prints and Drawings,"['drypoint', 'print', 'prints and drawing']",[],"['drypoint', 'paper (fiber product)', 'print', 'prints and drawing']","['Prints and Drawings', 'Women artists']",unknown
4934,aic_4934.jpg,Balinese Woman Winding Yarn,Norman Jacobsen,1910.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/2bb9c9d7-6a21-1c09-8ba3-4daaef59922c/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/4934,Gift of Robert Allerton,Prints and Drawings,"['charcoal', 'drawings (visual works)', 'prints and drawing']",[],"['charcoal', 'paper (fiber product)', 'wash', 'graphite', 'charcoal', 'drawings (visual works)', 'prints and drawing']",['Prints and Drawings'],unknown
4939,aic_4939.jpg,"Heads of Tahitian Women, Frontal and Profile Views",Paul Gauguin,1891.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/7e19b3a9-b4ed-ee61-7c49-d1ad5ebdd3a0/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/4939,Gift of David Adler and his friends,Prints and Drawings,"['charcoal', 'drawings (visual works)', 'prints and drawing']",['Post-Impressionism'],"['charcoal', 'stumping', 'Post-Impressionism', 'portraits', 'paper (fiber product)', 'charcoal', 'plant material', 'drawing techniques', 'fixing', 'stabilizing', 'drawings (visual works)', 'prints and drawing', 'women']",['Prints and Drawings'],unknown
4942,aic_4942.jpg,Portrait of Ellen Andrée,Hilaire Germain Edgar Degas,1871.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/4d8397c5-e392-f6ec-4d6a-cbdfc556b036/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/4942,Potter Palmer Collection,Prints and Drawings,"['monotype', 'print', 'prints and drawing', 'paper']",[],"['monotype', 'paper (fiber product)', 'print', 'prints and drawing', 'paper', 'ink', 'china paper']",['Prints and Drawings'],unknown
4989,aic_4989.jpg,Figures in a Park,Charles Georges Dufresne,1896.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/9b751213-31cf-be53-ad2c-9330b41af470/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/4989,Gift of Robert Allerton,Prints and Drawings,"['watercolor', 'drawings (visual works)', 'prints and drawing']",[],"['watercolor', 'Century of Progress', 'paper (fiber product)', 'ink', 'coating (material)', 'gouache', 'watercolor', 'water-base paint', 'paint', 'organic material', 'drawings (visual works)', 'prints and drawing', ""world's fairs"", ""Chicago World's Fairs""]",['Prints and Drawings'],unknown
5311,aic_5311.jpg,Portrait of a Man,Richard Crosse,late 18th century,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/13610bf7-19cd-4bab-41c9-599b933b6625/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/5311,The Colonel Alexander F. and Jeannie C. Stevenson Memorial Collection.  Gift of Miss Mary Louise Stevenson,Painting and Sculpture of Europe,"['miniature painting', 'european decorative arts']",[],"['miniature painting', 'ivory', 'portraits', 'european decorative arts', 'watercolor']",['Painting and Sculpture of Europe'],unknown
5375,aic_5375.jpg,Portrait of Joaneta Obrador,Joan Miró,1918.0,aic,2,1,0,0.880,"https://www.artic.edu/iiif/2/2d27889c-11ea-1dac-0682-9c48760a19b6/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/5375,Joseph Winterbotham Collection,Modern Art,"['oil on canvas', 'painting', 'modern and contemporary art']",[],"['oil on canvas', 'women', 'painting', 'modern and contemporary art', 'flowers', 'plant-derived motif', 'floral motifs', 'portraits', 'fashion', 'Joseph Winterbotham Collection']",['Modern Art'],unknown
5379,aic_5379.jpg,Bust of a Young Man in Profile,Giovanni Badile,1430.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/033b74b4-f93a-21f1-f66b-9976c28dfdd4/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/5379,Margaret Day Blake Collection,Prints and Drawings,"['metalpoint', 'drawings (visual works)', 'prints and drawing']",[],"['metalpoint', 'paper (fiber product)', 'metal points', 'drawings (visual works)', 'prints and drawing']",['Prints and Drawings'],unknown
5411,aic_5411.jpg,Portrait Sketch of Verlaine,Georges Rouault,1891.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/275b4c00-f475-6055-67bb-eec9099b7e2d/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/5411,Gift of Mr. Frank B. Hubachek,Prints and Drawings,"['lithograph', 'print', 'prints and drawing']",[],"['lithograph', 'paper (fiber product)', 'print', 'prints and drawing']",['Prints and Drawings'],unknown
5418,aic_5418.jpg,"A Young Man to Whom Nothing is Sacred, plate 8 from Professeurs Et Moutards",Honoré-Victorin Daumier,1846.0,aic,2,1,0,0.800,"https://www.artic.edu/iiif/2/d89e8262-4907-029d-c92c-596b41ef0f20/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/5418,Anonymous gift in memory of Carter H. Harrison,Prints and Drawings,"['lithograph', 'print', 'prints and drawing']",[],"['lithograph', 'paper (fiber product)', 'print', 'prints and drawing']",['Prints and Drawings'],unknown
5431,aic_5431.jpg,Seated Woman II,László Moholy-Nagy,1916.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/121a5968-7d19-5879-8974-b6a6bdaa5d1f/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/5431,Gift of Suzette M. Zurcher,Prints and Drawings,"['crayon', 'drawings (visual works)', 'prints and drawing']","['bauhaus', 'avant-garde']","['crayon', 'bauhaus', 'photography', 'photographic materials', 'photograph', 'gelatin silver print', 'avant-garde', 'charcoal', 'plant material', 'black crayons', 'crayons', 'drawings (visual works)', 'prints and drawing', 'paper (fiber product)']",['Prints and Drawings'],unknown
