filename,museum,title,artist,year,price_text,license,auction_price_usd,permalink,id,tier,portrait_flag,masterpiece_flag,value_score,image_url,source_url,credit_line,department,classification,style,terms,categories
436836.jpg,"Metropolitan Museum of Art, New York",Allegory of Music,Laurent de La Hyre,1649,,CC0,,https://www.metmuseum.org/art/collection/search/436836,,,,,,,,,,,,,
436884.jpg,"Metropolitan Museum of Art, New York",The Chess Players,Liberale da Verona,ca. 1475,,CC0,,https://www.metmuseum.org/art/collection/search/436884,,,,,,,,,,,,,
436885.jpg,"Metropolitan Museum of Art, New York",Scene from a Novella,Liberale da Verona,,,CC0,,https://www.metmuseum.org/art/collection/search/436885,,,,,,,,,,,,,
436896.jpg,"Metropolitan Museum of Art, New York",Portrait of a Woman with a Man at a Casement,Fra Filippo Lippi,ca. 1440,,CC0,,https://www.metmuseum.org/art/collection/search/436896,,,,,,,,,,,,,
436965.jpg,"Metropolitan Museum of Art, New York",The Monet Family in Their Garden at Argenteuil,Edouard Manet,1874,,CC0,,https://www.metmuseum.org/art/collection/search/436965,,,,,,,,,,,,,
437021.jpg,"Metropolitan Museum of Art, New York",Head of Christ,Master of the Orcagnesque Misericordia,,,CC0,,https://www.metmuseum.org/art/collection/search/437021,,,,,,,,,,,,,
437030.jpg,"Metropolitan Museum of Art, New York",Young Man Holding a Book,Master of the View of Saint Gudula,ca. 1480,,CC0,,https://www.metmuseum.org/art/collection/search/437030,,,,,,,,,,,,,
437061.jpg,"Metropolitan Museum of Art, New York",Salvator Mundi,Hans Memling,1480–85,,CC0,,https://www.metmuseum.org/art/collection/search/437061,,,,,,,,,,,,,
437090.jpg,"Metropolitan Museum of Art, New York","Charles I (1600–1649), King of England",Daniël Mijtens,1629,,CC0,,https://www.metmuseum.org/art/collection/search/437090,,,,,,,,,,,,,
437173.jpg,"Metropolitan Museum of Art, New York",Don Andrés de Andrade y la Cal,Bartolomé Estebán Murillo,ca. 1665–72,,CC0,,https://www.metmuseum.org/art/collection/search/437173,,,,,,,,,,,,,
437261.jpg,"Metropolitan Museum of Art, New York",The Penitence of Saint Jerome,Joachim Patinir,ca. 1515,,CC0,,https://www.metmuseum.org/art/collection/search/437261,,,,,,,,,,,,,
437340.jpg,"Metropolitan Museum of Art, New York","Charles Maurice de Talleyrand Périgord (1754–1838), Prince de Talleyrand",Pierre Paul Prud'hon,1817,,CC0,,https://www.metmuseum.org/art/collection/search/437340,,,,,,,,,,,,,
437368.jpg,"Metropolitan Museum of Art, New York",Holy Family with an Angel,Raffaellino del Garbo (also known as Raffaelle de' Capponi and Raffaelle de' Carli),ca. 1490,,CC0,,https://www.metmuseum.org/art/collection/search/437368,,,,,,,,,,,,,
437422.jpg,"Metropolitan Museum of Art, New York",Charity,Guido Reni,ca. 1630,,CC0,,https://www.metmuseum.org/art/collection/search/437422,,,,,,,,,,,,,
437457.jpg,"Metropolitan Museum of Art, New York",The Baptism of Christ,Sebastiano Ricci,ca. 1713–14,,CC0,,https://www.metmuseum.org/art/collection/search/437457,,,,,,,,,,,,,
437466.jpg,"Metropolitan Museum of Art, New York","Christ Blessing, Surrounded by a Donor Family",German Painter,ca. 1573–82,,CC0,,https://www.metmuseum.org/art/collection/search/437466,,,,,,,,,,,,,
437497.jpg,"Metropolitan Museum of Art, New York",The Flagellation; (reverse) The Madonna of Mercy,Girolamo Romanino,ca. 1540,,CC0,,https://www.metmuseum.org/art/collection/search/437497,,,,,,,,,,,,,
437609.jpg,"Metropolitan Museum of Art, New York",The Holy Family with the Young Saint John the Baptist,Andrea del Sarto (Andrea d'Agnolo),ca. 1528,,CC0,,https://www.metmuseum.org/art/collection/search/437609,,,,,,,,,,,,,
437851.jpg,"Metropolitan Museum of Art, New York",Portrait of a Young Man,Cosmè Tura (Cosimo di Domenico di Bonaventura),1470s,,CC0,,https://www.metmuseum.org/art/collection/search/437851,,,,,,,,,,,,,
437868.jpg,"Metropolitan Museum of Art, New York","Don Gaspar de Guzmán (1587–1645), Count-Duke of Olivares",Juan Bautista Martínez del Mazo,ca. 1636 or later,,CC0,,https://www.metmuseum.org/art/collection/search/437868,,,,,,,,,,,,,
438624.jpg,"Metropolitan Museum of Art, New York",Lake Fucino and the Abruzzi Mountains,Joseph Bidauld,ca. 1789,,CC0,,https://www.metmuseum.org/art/collection/search/438624,,,,,,,,,,,,,
438688.jpg,"Metropolitan Museum of Art, New York",Saint Francis,Federico Barocci,ca. 1600–1604,,CC0,,https://www.metmuseum.org/art/collection/search/438688,,,,,,,,,,,,,
438779.jpg,"Metropolitan Museum of Art, New York",A Peasant Family,Antoine Le Nain,ca. 1640–48,,CC0,,https://www.metmuseum.org/art/collection/search/438779,,,,,,,,,,,,,
