filename,title,artist,year,museum,license,price_text,auction_price_usd,permalink
459080.jpg,Erasmus of Rotterdam,Hans Holbein the Younger,ca. 1532,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/459080
460281.jpg,Tabernacle Polyptych with the Madonna and Child and Scenes from the Life of Christ,Unknown,ca. 1275–1300,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/460281
472562.jpg,The Fieschi Morgan Staurotheke,Unknown,early 9th century,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/472562
53162.jpg,Tobatsu Bishamonten,Unknown,late 10th–early 11th century,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/53162
544320.jpg,Stela of the Steward Mentuwoser,Unknown,ca. 1944 B.C.,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/544320
544453.jpg,Head from a Statue of King Amenhotep I,Unknown,ca. 1525–1504 B.C.,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/544453
626692.jpg,The Jabach Family,Charles Le Brun,ca. 1660,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/626692
643540.jpg,Portrait of a Woman,Giovanni Battista Gaulli (Il Baciccio),ca. 1670s,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/643540
712539.jpg,Saint Philip Neri (1515–1595),Carlo Dolci,1645 or 1646,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/712539
761114.jpg,Mercury and Cupid,Francesco Fanelli,late 1630s,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/761114
761570.jpg,Carlo Rimbotti (1518–1591),Francesco Salviati (Francesco de' Rossi),1548,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/761570
769297.jpg,Pope Clement X (1590–1676),Giovanni Battista Gaulli (Il Baciccio),ca. 1670–71,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/769297
838076.jpg,Virgin and Child Enthroned,Bohemian Painter,ca. 1345–50,"Metropolitan Museum of Art, New York",CC0,,,https://www.metmuseum.org/art/collection/search/838076
