filename,title,artist,year,museum,license,price_text,auction_price_usd,permalink,value_score,tier
438779.jpg,A Peasant Family,Antoine Le Nain,ca. 1640–48,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.1M,,https://www.metmuseum.org/art/collection/search/438779,0.619,2
438817.jpg,The Dance Class,Edgar Degas,1874,"Metropolitan Museum of Art, New York",CC0,Estimate: $1.8M,,https://www.metmuseum.org/art/collection/search/438817,0.559,2
438821.jpg,Ia Orana Maria (Hail Mary),Paul Gauguin,1891,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.2M,,https://www.metmuseum.org/art/collection/search/438821,0.653,2
446561.jpg,"""Alexander is Lowered into the Sea"", Folio from a Khamsa (Quintet) of Amir Khusrau Dihlavi",Amir Khusrau Dihlavi,1597–98,"Metropolitan Museum of Art, New York",CC0,Estimate: $1.9M,,https://www.metmuseum.org/art/collection/search/446561,0.581,2
452102.jpg,Damascus Room,Unknown,dated 1119 AH/1707 CE,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.1M,,https://www.metmuseum.org/art/collection/search/452102,0.632,2
453385.jpg,Anthology of Persian Poetry in Oblong Format (Safina),Sultan Muhammad Nur,dated 905 AH/1499–1500 CE,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.1M,,https://www.metmuseum.org/art/collection/search/453385,0.617,2
459027.jpg,"Portrait of a Woman, Possibly a Nun of San Secondo; (verso) Scene in Grisaille",Jacometto (Jacometto Veneziano),ca. 1485–95,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.0M,,https://www.metmuseum.org/art/collection/search/459027,0.603,2
459028.jpg,Portrait of Alvise Contarini(?); (verso) A Tethered Roebuck,Jacometto (Jacometto Veneziano),ca. 1485–95,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.0M,,https://www.metmuseum.org/art/collection/search/459028,0.606,2
459071.jpg,Portrait of a Woman,Netherlandish or French,ca. 1470–80,"Metropolitan Museum of Art, New York",CC0,Estimate: $1.9M,,https://www.metmuseum.org/art/collection/search/459071,0.576,2
459080.jpg,Erasmus of Rotterdam,Hans Holbein the Younger,ca. 1532,"Metropolitan Museum of Art, New York",CC0,Estimate: $1.7M,,https://www.metmuseum.org/art/collection/search/459080,0.540,2
460281.jpg,Tabernacle Polyptych with the Madonna and Child and Scenes from the Life of Christ,Unknown,ca. 1275–1300,"Metropolitan Museum of Art, New York",CC0,Estimate: $1.9M,,https://www.metmuseum.org/art/collection/search/460281,0.580,2
468640.jpg,Plate with Wife Beating Husband,Unknown,ca. 1480,"Metropolitan Museum of Art, New York",CC0,Estimate: $1.7M,,https://www.metmuseum.org/art/collection/search/468640,0.538,2
472562.jpg,The Fieschi Morgan Staurotheke,Unknown,early 9th century,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.1M,,https://www.metmuseum.org/art/collection/search/472562,0.621,2
53162.jpg,Tobatsu Bishamonten,Unknown,late 10th–early 11th century,"Metropolitan Museum of Art, New York",CC0,Estimate: $1.7M,,https://www.metmuseum.org/art/collection/search/53162,0.544,2
544320.jpg,Stela of the Steward Mentuwoser,Unknown,ca. 1944 B.C.,"Metropolitan Museum of Art, New York",CC0,Estimate: $1.8M,,https://www.metmuseum.org/art/collection/search/544320,0.552,2
544453.jpg,Head from a Statue of King Amenhotep I,Unknown,ca. 1525–1504 B.C.,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.2M,,https://www.metmuseum.org/art/collection/search/544453,0.638,2
551786.jpg,"Book of the Dead of the Priest of Horus, Imhotep (Imuthes)",Unknown,ca. 332–200 B.C.,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.0M,,https://www.metmuseum.org/art/collection/search/551786,0.595,2
626692.jpg,The Jabach Family,Charles Le Brun,ca. 1660,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.3M,,https://www.metmuseum.org/art/collection/search/626692,0.656,2
643540.jpg,Portrait of a Woman,Giovanni Battista Gaulli (Il Baciccio),ca. 1670s,"Metropolitan Museum of Art, New York",CC0,Estimate: $1.8M,,https://www.metmuseum.org/art/collection/search/643540,0.561,2
712539.jpg,Saint Philip Neri (1515–1595),Carlo Dolci,1645 or 1646,"Metropolitan Museum of Art, New York",CC0,Estimate: $1.7M,,https://www.metmuseum.org/art/collection/search/712539,0.543,2
761114.jpg,Mercury and Cupid,Francesco Fanelli,late 1630s,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.2M,,https://www.metmuseum.org/art/collection/search/761114,0.634,2
761570.jpg,Carlo Rimbotti (1518–1591),Francesco Salviati (Francesco de' Rossi),1548,"Metropolitan Museum of Art, New York",CC0,Estimate: $2.0M,,https://www.metmuseum.org/art/collection/search/761570,0.599,2
769297.jpg,Pope Clement X (1590–1676),Giovanni Battista Gaulli (Il Baciccio),ca. 1670–71,"Metropolitan Museum of Art, New York",CC0,Estimate: $1.8M,,https://www.metmuseum.org/art/collection/search/769297,0.549,2
838076.jpg,Virgin and Child Enthroned,Bohemian Painter,ca. 1345–50,"Metropolitan Museum of Art, New York",CC0,Estimate: $1.7M,,https://www.metmuseum.org/art/collection/search/838076,0.523,2
